permalink,name,category_list,status,country_code,founded_at,company_permalink,funding_round_type,funded_at,raised_amount_usd,main_sector
fame,#fame,Media,operating,IND,,fame,venture,05-01-2015,10000000.0,Entertainment
21diamonds-india,21Diamonds,E-Commerce,operating,IND,01-06-2012,21diamonds-india,venture,15-11-2012,6369507.0,Others
a-little-world,A LITTLE WORLD,Finance,operating,IND,02-03-2000,a-little-world,venture,09-09-2008,6410000.0,"Social, Finance, Analytics, Advertising"
adlabs-imagica,Adlabs Imagica,Entertainment,operating,IND,,adlabs-imagica,venture,28-10-2014,8180000.0,Entertainment
agile,Agile,Finance,operating,IND,,agile,venture,01-05-2011,5740000.0,"Social, Finance, Analytics, Advertising"
akosha,Akosha,Consumer Internet,operating,IND,01-06-2010,akosha,venture,01-07-2014,5000000.0,"Social, Finance, Analytics, Advertising"
amagi-media-labs,Amagi Media Labs,Advertising,operating,IND,01-01-2008,amagi-media-labs,venture,17-06-2013,5500000.0,"Social, Finance, Analytics, Advertising"
ameyo,Ameyo,Software,operating,IND,01-01-2003,ameyo,venture,03-07-2015,5000000.0,Others
ani-technologies,Ola,Automotive,operating,IND,03-12-2010,ani-technologies,venture,10-04-2012,5000000.0,Automotive & Sports
annapurna-microfinace,Annapurna Microfinace,Finance,operating,IND,01-01-2009,annapurna-microfinace,venture,26-03-2014,5000000.0,"Social, Finance, Analytics, Advertising"
apalya,Apalya,Content,operating,IND,01-01-2005,apalya,venture,12-01-2011,7500000.0,Entertainment
apalya,Apalya,Content,operating,IND,01-01-2005,apalya,venture,01-12-2012,8000000.0,Entertainment
apnaloan,ApnaPaisa,Credit,operating,IND,01-01-2007,apnaloan,venture,01-12-2007,15000000.0,"Social, Finance, Analytics, Advertising"
applabs,AppLabs,Software,acquired,IND,01-01-2001,applabs,venture,29-06-2006,10000000.0,Others
appsdaily-solutions,Appsdaily Solutions,Software,operating,IND,01-01-2008,appsdaily-solutions,venture,10-04-2014,5000000.0,Others
ariisto,Ariisto,Real Estate,operating,IND,01-01-2006,ariisto,venture,24-01-2014,12000000.0,Others
ather-energy,Ather Energy,Automotive,operating,IND,01-04-2013,ather-energy,venture,29-05-2015,12000000.0,Automotive & Sports
attero-recycling,Attero,Clean Technology,operating,IND,01-01-2007,attero-recycling,venture,21-08-2008,6300000.0,Cleantech / Semiconductors
aujas-networks,Aujas Networks,Security,operating,IND,01-01-2008,aujas-networks,venture,27-11-2013,5400000.0,Others
authorstream,authorSTREAM.com,Collaboration,operating,IND,01-05-2007,authorstream,venture,15-12-2010,5000000.0,"Social, Finance, Analytics, Advertising"
avesthagen,Avesthagen,Biotechnology,operating,IND,,avesthagen,venture,07-05-2007,5530000.0,Cleantech / Semiconductors
azure-hospitality,Azure Hospitality,Hospitality,operating,IND,01-01-2009,azure-hospitality,venture,13-07-2015,10000000.0,Others
