permalink,name,category_list,status,country_code,founded_at,company_permalink,funding_round_type,funded_at,raised_amount_usd,main_sector
f2g,F2G,Biotechnology,operating,GBR,01-01-1998,f2g,venture,18-08-2008,11741756.0,Cleantech / Semiconductors
famecount,Starcount,Curated Web,operating,GBR,01-01-2010,famecount,venture,11-11-2014,7464266.0,"News, Search and Messaging"
fits-me,Fits.me,E-Commerce,acquired,GBR,01-03-2010,fits-me,venture,17-04-2013,7200000.0,Others
fits-me,Fits.me,E-Commerce,acquired,GBR,01-03-2010,fits-me,venture,24-10-2014,5300000.0,Others
flexiant,Flexiant,Enterprise Software,acquired,GBR,09-12-2009,flexiant,venture,07-04-2013,5716641.0,Others
flowline,Flowline,Clean Technology,operating,GBR,01-06-1991,flowline,venture,27-06-2014,5104587.0,Cleantech / Semiconductors
flypay,Flypay,Apps,operating,GBR,26-02-2013,flypay,venture,16-07-2015,10700000.0,"News, Search and Messaging"
fonestarz-media,FoneStarz Media,Mobile,acquired,GBR,,fonestarz-media,venture,10-04-2006,6975497.0,"News, Search and Messaging"
fotech,Fotech,Clean Technology,operating,GBR,01-01-2000,fotech,venture,26-06-2008,12911358.0,Cleantech / Semiconductors
funxional-therapeutics,Funxional Therapeutics,Biotechnology,operating,GBR,01-01-2005,funxional-therapeutics,venture,27-05-2010,12200000.0,Cleantech / Semiconductors
fuse-universal,Fuse Universal,Education,operating,GBR,01-01-2008,fuse-universal,venture,18-06-2015,10000000.0,Others
garlik,Garlik,Finance,acquired,GBR,01-01-2005,garlik,venture,01-06-2008,5000000.0,"Social, Finance, Analytics, Advertising"
garlik,Garlik,Finance,acquired,GBR,01-01-2005,garlik,venture,24-04-2006,5400000.0,"Social, Finance, Analytics, Advertising"
garlik,Garlik,Finance,acquired,GBR,01-01-2005,garlik,venture,26-04-2007,11950000.0,"Social, Finance, Analytics, Advertising"
gear4music-com,Gear4music.com,E-Commerce,operating,GBR,01-01-2003,gear4music-com,venture,21-03-2012,5385352.0,Others
geospock-ltd-,GeoSpock Ltd.,Application Platforms,operating,GBR,01-01-2013,geospock-ltd-,venture,01-10-2014,5460000.0,"News, Search and Messaging"
geospock-ltd-,GeoSpock Ltd.,Application Platforms,operating,GBR,01-01-2013,geospock-ltd-,venture,05-10-2015,5400000.0,"News, Search and Messaging"
gev-global,GEV Global,Energy,operating,GBR,01-01-1995,gev-global,venture,29-10-2015,8264273.0,Cleantech / Semiconductors
giggling-squid,Giggling Squid,Food Processing,operating,GBR,,giggling-squid,venture,16-11-2015,9742336.0,Manufacturing
global-silicon,Global Silicon,Semiconductors,operating,GBR,01-01-1997,global-silicon,venture,08-09-2005,10000000.0,Cleantech / Semiconductors
glow-digital-media,Glow Digital Media,Advertising,operating,GBR,27-03-2011,glow-digital-media,venture,22-07-2014,7000000.0,"Social, Finance, Analytics, Advertising"
glysure,GlySure,Health Care,operating,GBR,,glysure,venture,28-11-2012,13600000.0,Health
glysure,GlySure,Health Care,operating,GBR,,glysure,venture,09-01-2012,10812621.0,Health
gocardless,GoCardless,E-Commerce,operating,GBR,01-01-2011,gocardless,venture,28-01-2014,7000000.0,Others
gousto,Gousto,E-Commerce,operating,GBR,01-01-2012,gousto,venture,15-09-2014,8300000.0,Others
government-grant-and-tax-consultants,Government Grant and Tax Consultants,Business Services,operating,GBR,01-01-2006,government-grant-and-tax-consultants,venture,13-11-2015,5015782.0,"Social, Finance, Analytics, Advertising"
goviral,goviral,Advertising,acquired,GBR,01-01-2005,goviral,venture,24-03-2009,8820000.0,"Social, Finance, Analytics, Advertising"
green-biologics,Green Biologics,Biotechnology,operating,GBR,01-01-2003,green-biologics,venture,30-07-2010,6100000.0,Cleantech / Semiconductors
green-biologics,Green Biologics,Biotechnology,operating,GBR,01-01-2003,green-biologics,venture,16-05-2012,5118945.0,Cleantech / Semiconductors
green-highland-renewables,Green Highland Renewables,Clean Technology,operating,GBR,,green-highland-renewables,venture,21-10-2013,9300000.0,Cleantech / Semiconductors
greenroad-technologies,GreenRoad Technologies,Cars,operating,GBR,01-01-2006,greenroad-technologies,venture,19-05-2011,13000000.0,Automotive & Sports
greenroad-technologies,GreenRoad Technologies,Cars,operating,GBR,01-01-2006,greenroad-technologies,venture,31-01-2008,14500000.0,Automotive & Sports
greenroad-technologies,GreenRoad Technologies,Cars,operating,GBR,01-01-2006,greenroad-technologies,venture,22-02-2010,10000000.0,Automotive & Sports
greenroad-technologies,GreenRoad Technologies,Cars,operating,GBR,01-01-2006,greenroad-technologies,venture,28-05-2009,15000000.0,Automotive & Sports
happy-days,Happy Days,Health and Wellness,operating,GBR,,happy-days,venture,18-04-2012,5913947.0,Health
hassle-com,Hassle.com,CRM,acquired,GBR,01-11-2011,hassle-com,venture,08-05-2014,6000000.0,"Social, Finance, Analytics, Advertising"
helveta,Helveta,Software,operating,GBR,01-01-2004,helveta,venture,08-11-2011,6427597.0,Others
helveta,Helveta,Software,operating,GBR,01-01-2004,helveta,venture,17-05-2010,7270000.0,Others
horizon-discovery,Horizon Discovery,Biotechnology,ipo,GBR,01-01-2007,horizon-discovery,venture,03-06-2013,10455234.0,Cleantech / Semiconductors
horizon-discovery,Horizon Discovery,Biotechnology,ipo,GBR,01-01-2007,horizon-discovery,venture,13-09-2011,11098485.0,Cleantech / Semiconductors
horizon-discovery,Horizon Discovery,Biotechnology,ipo,GBR,01-01-2007,horizon-discovery,venture,28-09-2010,9800000.0,Cleantech / Semiconductors
hybridcluster,ClusterHQ,Cloud Computing,operating,GBR,01-01-2008,hybridcluster,venture,05-02-2015,12000000.0,"News, Search and Messaging"
i2o-water,i2O Water,Clean Technology,operating,GBR,01-01-2005,i2o-water,venture,24-11-2014,12536564.0,Cleantech / Semiconductors
i2o-water,i2O Water,Clean Technology,operating,GBR,01-01-2005,i2o-water,venture,01-11-2009,6954965.0,Cleantech / Semiconductors
iceotope,Iceotope,Clean Technology,operating,GBR,04-11-2011,iceotope,venture,13-01-2014,10000000.0,Cleantech / Semiconductors
icera,Icera,Mobile,acquired,GBR,01-04-2002,icera,venture,07-02-2003,10000000.0,"News, Search and Messaging"
icrossing,iCrossing,Advertising,acquired,GBR,01-01-1998,icrossing,venture,13-07-2005,13000000.0,"Social, Finance, Analytics, Advertising"
idio,idio,Advertising,operating,GBR,08-08-2006,idio,venture,02-12-2014,6200000.0,"Social, Finance, Analytics, Advertising"
ignis-energy,Ignis Energy,Clean Technology,operating,GBR,,ignis-energy,venture,03-05-2012,5014644.0,Cleantech / Semiconductors
image-analysis,Image Analysis,Clinical Trials,operating,GBR,01-01-2007,image-analysis,venture,30-04-2015,5200000.0,Health
imagination-technologies,Imagination Technologies,Semiconductors,ipo,GBR,01-01-1985,imagination-technologies,venture,26-06-2009,5170000.0,Cleantech / Semiconductors
imagination-technologies,Imagination Technologies,Semiconductors,ipo,GBR,01-01-1985,imagination-technologies,venture,01-10-2006,9863479.0,Cleantech / Semiconductors
imagini,VisualDNA,Advertising,operating,GBR,01-08-2006,imagini,venture,25-05-2007,5000000.0,"Social, Finance, Analytics, Advertising"
imagini,VisualDNA,Advertising,operating,GBR,01-08-2006,imagini,venture,25-02-2009,13550000.0,"Social, Finance, Analytics, Advertising"
imagini,VisualDNA,Advertising,operating,GBR,01-08-2006,imagini,venture,01-01-2012,10000000.0,"Social, Finance, Analytics, Advertising"
immune-targeting-systems,Immune Targeting Systems,Biotechnology,acquired,GBR,01-01-2003,immune-targeting-systems,venture,16-07-2007,7120961.0,Cleantech / Semiconductors
immune-targeting-systems,Immune Targeting Systems,Biotechnology,acquired,GBR,01-01-2003,immune-targeting-systems,venture,17-03-2010,13200000.0,Cleantech / Semiconductors
inforsense,InforSense,Enterprise Software,operating,GBR,01-01-1999,inforsense,venture,25-10-2006,10000000.0,Others
inivata,Inivata,Biotechnology,operating,GBR,,inivata,venture,23-09-2014,6540899.0,Cleantech / Semiconductors
inspired-capital-plc,Inspired Capital plc,Business Services,operating,GBR,,inspired-capital-plc,venture,20-10-2000,12000000.0,"Social, Finance, Analytics, Advertising"
intelligent-energy,Intelligent Energy,Clean Technology,ipo,GBR,01-01-2001,intelligent-energy,venture,07-07-2008,13600000.0,Cleantech / Semiconductors
intent-hq,Intent HQ,Analytics,operating,GBR,01-08-2010,intent-hq,venture,01-05-2014,8009622.0,"Social, Finance, Analytics, Advertising"
ion-core,Ion Core,3D Printing,operating,GBR,01-01-2013,ion-core,venture,01-07-2014,10000000.0,Manufacturing
ip-access,ip.access,Software,operating,GBR,01-01-2000,ip-access,venture,12-12-2011,15000000.0,Others
ip-access,ip.access,Software,operating,GBR,01-01-2000,ip-access,venture,13-02-2007,10000000.0,Others
ipwireless,IPWireless,Mobile,acquired,GBR,01-01-1999,ipwireless,venture,18-01-2006,10000000.0,"News, Search and Messaging"
ipwireless,IPWireless,Mobile,acquired,GBR,01-01-1999,ipwireless,venture,13-05-2011,6080000.0,"News, Search and Messaging"
isango,isango!,Content,operating,GBR,13-01-2006,isango,venture,01-03-2008,8000000.0,Entertainment
iwoca,iwoca,Finance,operating,GBR,01-10-2011,iwoca,venture,09-01-2014,8220619.0,"Social, Finance, Analytics, Advertising"
jade-solutions,Jade Solutions,Mobile,operating,GBR,,jade-solutions,venture,26-04-2005,7540000.0,"News, Search and Messaging"
jampp,Jampp,App Marketing,operating,GBR,09-10-2011,jampp,venture,25-02-2015,7000000.0,"News, Search and Messaging"
jobpartners,Jobpartners,Software,acquired,GBR,,jobpartners,venture,01-01-2001,6513500.0,Others
jobpartners,Jobpartners,Software,acquired,GBR,,jobpartners,venture,01-01-2000,5023000.0,Others
judo,Judo Payments,Mobile,operating,GBR,01-05-2012,judo,venture,01-01-2015,9341792.0,"News, Search and Messaging"
just-eat,Just Eat,Discounts,ipo,GBR,01-01-2001,just-eat,venture,14-07-2009,8157541.0,"Social, Finance, Analytics, Advertising"
kaazing,Kaazing,Apps,operating,GBR,01-05-2007,kaazing,venture,17-04-2013,15000000.0,"News, Search and Messaging"
kabbee,Kabbee,Mobile,operating,GBR,01-06-2011,kabbee,venture,19-11-2013,5757955.0,"News, Search and Messaging"
kalvista-pharmaceuticals,KalVista Pharmaceuticals,Biotechnology,operating,GBR,,kalvista-pharmaceuticals,venture,23-08-2011,13207305.0,Cleantech / Semiconductors
kano-computing,Kano Computing,Hardware + Software,operating,GBR,25-01-2013,kano-computing,venture,04-05-2015,15000000.0,Manufacturing
kantox,Kantox,B2B,operating,GBR,03-06-2011,kantox,venture,10-02-2014,8724972.0,"Social, Finance, Analytics, Advertising"
kantox,Kantox,B2B,operating,GBR,03-06-2011,kantox,venture,27-05-2015,10921362.0,"Social, Finance, Analytics, Advertising"
karus-therapeutics,Karus Therapeutics,Biotechnology,operating,GBR,01-01-2005,karus-therapeutics,venture,06-09-2012,7600000.0,Cleantech / Semiconductors
kelway,Kelway,Enterprise Software,operating,GBR,,kelway,venture,27-11-2006,9690000.0,Others
ketech,KeTech,Software,operating,GBR,01-01-1999,ketech,venture,06-11-2015,7623462.0,Others
kingsbridge-risk-solutions,Kingsbridge Risk Solutions,Finance,operating,GBR,01-01-2001,kingsbridge-risk-solutions,venture,15-01-2014,7719600.0,"Social, Finance, Analytics, Advertising"
lamellar-biomedical,Lamellar Biomedical,Biotechnology,operating,GBR,,lamellar-biomedical,venture,07-01-2013,5301059.0,Cleantech / Semiconductors
last-fm,Last.fm,Music,acquired,GBR,01-01-2002,last-fm,venture,01-05-2006,5000000.0,Entertainment
light-blue-optics,Light Blue Optics,Automotive,operating,GBR,02-01-2004,light-blue-optics,venture,19-07-2009,15000000.0,Automotive & Sports
light-blue-optics,Light Blue Optics,Automotive,operating,GBR,02-01-2004,light-blue-optics,venture,11-10-2010,13000000.0,Automotive & Sports
linkdex,Linkdex,Advertising,operating,GBR,08-06-2009,linkdex,venture,27-11-2014,5509959.0,"Social, Finance, Analytics, Advertising"
livebookings,Livebookings Holdings Ltd.,Advertising,acquired,GBR,01-01-2005,livebookings,venture,04-04-2011,10000000.0,"Social, Finance, Analytics, Advertising"
livebookings,Livebookings Holdings Ltd.,Advertising,acquired,GBR,01-01-2005,livebookings,venture,05-03-2008,6500000.0,"Social, Finance, Analytics, Advertising"
lost-my-name,Lost My Name,Kids,operating,GBR,01-01-2012,lost-my-name,venture,25-06-2015,9000000.0,Others
lovecrafts,LoveCrafts,E-Commerce,operating,GBR,,lovecrafts,venture,27-02-2015,7500000.0,Others
lyst,Lyst,E-Commerce,operating,GBR,01-01-2010,lyst,venture,23-01-2014,14000000.0,Others
lyst,Lyst,E-Commerce,operating,GBR,01-01-2010,lyst,venture,12-07-2012,5000000.0,Others
m-squared-lasers,M Squared Lasers,Manufacturing,operating,GBR,,m-squared-lasers,venture,01-05-2012,6257937.0,Manufacturing
