permalink,name,category_list,status,country_code,founded_at,company_permalink,funding_round_type,funded_at,raised_amount_usd,main_sector
0xdata,H2O.ai,Analytics,operating,USA,01-01-2011,0xdata,venture,19-07-2014,8900000.0,"Social, Finance, Analytics, Advertising"
1-mainstream,1 Mainstream,Apps,acquired,USA,01-03-2012,1-mainstream,venture,17-03-2015,5000000.0,"News, Search and Messaging"
128-technology,128 Technology,Service Providers,operating,USA,07-07-2014,128-technology,venture,16-12-2014,11999347.0,Others
1366-technologies,1366 Technologies,Manufacturing,operating,USA,01-01-2007,1366-technologies,venture,15-10-2013,15000000.0,Manufacturing
1366-technologies,1366 Technologies,Manufacturing,operating,USA,01-01-2007,1366-technologies,venture,09-04-2015,5000000.0,Manufacturing
1366-technologies,1366 Technologies,Manufacturing,operating,USA,01-01-2007,1366-technologies,venture,03-02-2010,5150000.0,Manufacturing
1366-technologies,1366 Technologies,Manufacturing,operating,USA,01-01-2007,1366-technologies,venture,27-03-2008,12400000.0,Manufacturing
1366-technologies,1366 Technologies,Manufacturing,operating,USA,01-01-2007,1366-technologies,venture,16-12-2010,6000000.0,Manufacturing
170-systems,170 Systems,Software,acquired,USA,01-01-1990,170-systems,venture,16-04-2002,14000000.0,Others
17zuoye,17zuoye,Education,operating,USA,01-01-2007,17zuoye,venture,01-01-2011,5000000.0,Others
17zuoye,17zuoye,Education,operating,USA,01-01-2007,17zuoye,venture,01-09-2013,10000000.0,Others
1stdibs,1stdibs,E-Commerce,operating,USA,01-01-2001,1stdibs,venture,24-01-2014,15000000.0,Others
2080-media,2080 Media,News,operating,USA,01-01-2008,2080-media,venture,30-11-2015,8000000.0,"News, Search and Messaging"
2080-media,2080 Media,News,operating,USA,01-01-2008,2080-media,venture,06-09-2011,7200000.0,"News, Search and Messaging"
21e6,21 Inc,Big Data,operating,USA,01-05-2013,21e6,venture,17-11-2013,5050000.0,"Social, Finance, Analytics, Advertising"
22nd-century-group,22nd Century Group,Biotechnology,ipo,USA,01-01-1998,22nd-century-group,venture,18-09-2014,10000000.0,Cleantech / Semiconductors
23andme,23andMe,Biotechnology,operating,USA,01-04-2006,23andme,venture,07-01-2011,9000000.0,Cleantech / Semiconductors
23andme,23andMe,Biotechnology,operating,USA,01-04-2006,23andme,venture,18-06-2009,12600000.0,Cleantech / Semiconductors
23andme,23andMe,Biotechnology,operating,USA,01-04-2006,23andme,venture,03-10-2007,9000000.0,Cleantech / Semiconductors
28msec,28msec,Cloud Computing,operating,USA,01-01-2008,28msec,venture,28-10-2013,5844811.0,"News, Search and Messaging"
2nd-watch,2nd Watch,Cloud Infrastructure,operating,USA,01-01-2010,2nd-watch,venture,14-10-2014,10000000.0,"News, Search and Messaging"
2u,2U Inc.,EdTech,ipo,USA,01-01-2008,2u,venture,21-10-2013,5100000.0,Others
2u,2U Inc.,EdTech,ipo,USA,01-01-2008,2u,venture,21-06-2009,10000000.0,Others
3-v-biosciences,3-V Biosciences,Biotechnology,operating,USA,01-03-2007,3-v-biosciences,venture,17-03-2015,14278567.0,Cleantech / Semiconductors
3-v-biosciences,3-V Biosciences,Biotechnology,operating,USA,01-03-2007,3-v-biosciences,venture,01-10-2012,8089000.0,Cleantech / Semiconductors
3-v-biosciences,3-V Biosciences,Biotechnology,operating,USA,01-03-2007,3-v-biosciences,venture,22-05-2007,7610000.0,Cleantech / Semiconductors
33across,33Across,Advertising,operating,USA,01-09-2007,33across,venture,19-07-2012,13100000.0,"Social, Finance, Analytics, Advertising"
33across,33Across,Advertising,operating,USA,01-09-2007,33across,venture,05-01-2011,9000000.0,"Social, Finance, Analytics, Advertising"
360commerce,360Commerce,Information Technology,acquired,USA,,360commerce,venture,29-10-2003,12000000.0,"Social, Finance, Analytics, Advertising"
3crowd-technologies,XDN/3Crowd Technologies,Enterprise Software,acquired,USA,01-01-2010,3crowd-technologies,venture,13-04-2010,6620000.0,Others
3d-robotics,3D Robotics,Drones,operating,USA,01-01-2009,3d-robotics,venture,05-11-2012,5000000.0,Automotive & Sports
3d-robotics,3D Robotics,Drones,operating,USA,01-01-2009,3d-robotics,venture,23-04-2015,14000000.0,Automotive & Sports
3dr-laboratories,3DR Laboratories,Biotechnology,operating,USA,,3dr-laboratories,venture,23-08-2012,7200000.0,Cleantech / Semiconductors
3leaf,3Leaf,Web Hosting,acquired,USA,01-06-2004,3leaf,venture,01-01-2005,10000000.0,Others
3pillar-global,3Pillar Global,Consulting,operating,USA,01-08-2006,3pillar-global,venture,06-06-2013,12000000.0,"Social, Finance, Analytics, Advertising"
3pillar-global,3Pillar Global,Consulting,operating,USA,01-08-2006,3pillar-global,venture,09-06-2011,10000000.0,"Social, Finance, Analytics, Advertising"
3scan,3Scan,Biotechnology,operating,USA,01-01-2011,3scan,venture,05-12-2014,6673012.0,Cleantech / Semiconductors
